,Year,Type,Distance_km,Stage
713,1953,Flat,195.0,1
714,1953,Flat,197.0,1
715,1953,Flat,200.0,1
716,1953,Flat,206.0,1
717,1953,Flat,210.0,1
718,1953,Flat,221.0,1
719,1953,Flat,227.0,1
720,1953,Flat,228.0,1
721,1953,Flat,328.0,1
722,1953,Flat,345.0,1
723,1953,Stage with mountains,103.0,1
724,1953,Stage with mountains,115.0,1
725,1953,Stage with mountains,165.0,1
726,1953,Stage with mountains,189.0,1
727,1953,Stage with mountains,214.0,1
728,1953,Stage with mountains,227.0,1
729,1953,Stage with mountains,236.0,1
730,1953,Stage with mountains,261.0,1
731,1954,Individual time trial,72.0,1
732,1954,Flat,131.0,1
733,1954,Flat,134.0,1
734,1954,Flat,179.0,1
735,1954,Flat,180.0,1
736,1954,Flat,190.0,1
737,1954,Flat,202.0,1
738,1954,Flat,203.0,1
739,1954,Flat,211.0,1
740,1954,Flat,216.0,2
741,1954,Flat,219.0,1
742,1954,Flat,224.0,1
743,1954,Flat,255.0,1
744,1954,Flat,343.0,1
745,1954,Stage with mountains,161.0,1
746,1954,Stage with mountains,182.0,1
747,1954,Stage with mountains,194.0,1
748,1954,Stage with mountains,197.0,1
749,1954,Stage with mountains,216.0,1
750,1954,Stage with mountains,221.0,1
751,1954,Stage with mountains,225.0,1
752,1954,Stage with mountains,241.0,1
753,1954,Stage with mountains,243.0,1
754,1954,Team time trial,10.4,1
755,1955,Individual time trial,68.6,1
756,1955,Flat,102.0,1
757,1955,Flat,123.0,1
758,1955,Flat,151.0,1
759,1955,Flat,195.0,2
760,1955,Flat,204.0,1
761,1955,Flat,205.0,1
762,1955,Flat,210.0,1
763,1955,Flat,225.0,1
764,1955,Flat,229.0,2
765,1955,Flat,240.0,1
766,1955,Flat,243.0,1
767,1955,Flat,267.0,1
768,1955,Stage with mountains,156.0,1
769,1955,Stage with mountains,198.0,1
770,1955,Stage with mountains,205.0,1
771,1955,Stage with mountains,240.0,1
772,1955,Stage with mountains,250.0,1
773,1955,Stage with mountains,253.0,1
774,1955,Stage with mountains,275.0,1
775,1955,Team time trial,12.5,1
776,1956,Individual time trial,15.1,1
777,1956,Individual time trial,73.0,1
778,1956,Flat,125.0,1
779,1956,Flat,180.0,1
780,1956,Flat,189.0,1
781,1956,Flat,192.0,1
782,1956,Flat,201.0,1
783,1956,Flat,204.0,1
784,1956,Flat,217.0,1
785,1956,Flat,219.0,1
786,1956,Flat,223.0,1
787,1956,Flat,225.0,1
788,1956,Flat,231.0,1
789,1956,Flat,244.0,1
790,1956,Flat,331.0,1
791,1956,Stage with mountains,130.0,1
792,1956,Stage with mountains,173.0,1
793,1956,Stage with mountains,176.0,1
794,1956,Stage with mountains,203.0,1
795,1956,Stage with mountains,234.0,1
796,1956,Stage with mountains,237.0,1
797,1956,Stage with mountains,250.0,1
798,1956,Stage with mountains,255.0,1
799,1957,Individual time trial,9.8,1
800,1957,Individual time trial,66.0,1
801,1957,Flat,134.0,1
802,1957,Flat,160.0,1
803,1957,Flat,170.0,1
804,1957,Flat,188.0,1
805,1957,Flat,192.0,1
806,1957,Flat,194.0,1
807,1957,Flat,197.0,1
808,1957,Flat,204.0,1
809,1957,Flat,226.0,1
810,1957,Flat,227.0,1
811,1957,Flat,232.0,1
812,1957,Flat,246.0,1
813,1957,Flat,248.0,1
814,1957,Flat,317.0,1
815,1957,Stage with mountains,207.0,1
816,1957,Stage with mountains,220.0,1
817,1957,Stage with mountains,223.0,1
818,1957,Stage with mountains,236.0,1
